C0 (2554 genes)	C1 (1326 genes)	C2 (1037 genes)	C3 (1804 genes)	C4 (1000 genes)	C5 (1621 genes)
AT5G06410					
AT5G06430					
AT5G06460					
AT5G06550					
AT5G06810					
AT5G07090					
AT5G07390					
AT5G07670					
AT5G07680					
AT5G08170					
AT5G08180					
AT5G08270					
AT5G08300					
AT5G08310					
AT5G08360					
AT5G08380					
AT5G08400					
AT5G08415					
AT5G08420					
AT5G08600					
AT5G08610					
AT5G08620					
AT5G09300					
AT5G09380					
AT5G09420					
AT5G09510					
AT5G09580					
AT5G09650					
AT5G09730					
AT5G09840					
AT5G09920					
AT5G10010					
AT5G10070					
AT5G10230					
AT5G10360					
AT5G10910					
AT5G10920					
AT5G10950					
AT5G10980					
AT5G11010					
AT5G11060					
AT5G11170					
AT5G11200					
AT5G11240					
AT5G11310					
AT5G11340					
AT5G11630					
AT5G11750					
AT5G11760					
AT5G11900					
AT5G12080					
AT5G12190					
AT5G12220					
AT5G12410					
AT5G12420					
AT5G12860					
AT5G12980					
AT5G13020					
AT5G13120					
AT5G13270					
AT5G13280					
AT5G13330					
AT5G13360					
AT5G13420					
AT5G13490					
AT5G13610					
AT5G13680					
AT5G13830					
AT5G13890					
AT5G14030					
AT5G14040					
AT5G14050					
AT5G14250					
AT5G14520					
AT5G14580					
AT5G14600					
AT5G14660					
AT5G14770					
AT5G14820					
AT5G15010					
AT5G15025					
AT5G15130					
AT5G15200					
AT5G15220					
AT5G15520					
AT5G15550					
AT5G15700					
AT5G15750					
AT5G15810					
AT5G15853					
AT5G15980					
AT5G16300					
AT5G16453					
AT5G16510					
AT5G16750					
AT5G16930					
AT5G16950					
AT5G17010					
AT5G17020					
AT5G17220					
AT5G17240					
AT5G17250					
AT5G17270					
AT5G17470					
AT5G17480					
AT5G17500					
AT5G17510					
AT5G17522					
AT5G17523					
AT5G17560					
AT5G17640					
AT5G17720					
AT5G17770					
AT5G17790					
AT5G17847					
AT5G17920					
AT5G17930					
AT5G17970					
AT5G18180					
AT5G18250					
AT5G18380					
AT5G18420					
AT5G18440					
AT5G18510					
AT5G18720					
AT5G18750					
AT5G18810					
AT5G18820					
AT5G18920					
AT5G18950					
AT5G19300					
AT5G19320					
AT5G19485					
AT5G19550					
AT5G19600					
AT5G19650					
AT5G19680					
AT5G19750					
AT5G19820					
AT5G19880					
AT5G19920					
AT5G20020					
AT5G20040					
AT5G20160					
AT5G20180					
AT5G20200					
AT5G20480					
AT5G20590					
AT5G20600					
AT5G20920					
AT5G20930					
AT5G20940					
AT5G20950					
AT5G21160					
AT5G22100					
AT5G22170					
AT5G22320					
AT5G22330					
AT5G22440					
AT5G22480					
AT5G22650					
AT5G22790					
AT5G22810					
AT5G22840					
AT5G23000					
AT5G23070					
AT5G23200					
AT5G23240					
AT5G23250					
AT5G23300					
AT5G23395					
AT5G23530					
AT5G23535					
AT5G23540					
AT5G23630					
AT5G23710					
AT5G23820					
AT5G23880					
AT5G23900					
AT5G23930					
AT5G24090					
AT5G24130					
AT5G24160					
AT5G24220					
AT5G24230					
AT5G24280					
AT5G24840					
AT5G24960					
AT5G25080					
AT5G25200					
AT5G25320					
AT5G25480					
AT5G25757					
AT5G25780					
AT5G25820					
AT5G25970					
AT5G26110					
AT5G26160					
AT5G26170					
AT5G26180					
AT5G26220					
AT5G26290					
AT5G26680					
AT5G26780					
AT5G26830					
AT5G26860					
AT5G27090					
