C0 (2554 genes)	C1 (1326 genes)	C2 (1037 genes)	C3 (1804 genes)	C4 (1000 genes)	C5 (1621 genes)
AT2G06040	AT3G19450	AT4G09020	AT2G31960	AT4G17900	AT2G46500
AT2G06200	AT3G19508	AT4G09670	AT2G31980	AT4G18140	AT2G46620
AT2G06990	AT3G19810	AT4G09970	AT2G32080	AT4G18203	AT2G47060
AT2G07646	AT3G20050	AT4G11080	AT2G32090	AT4G18530	AT2G47130
AT2G07672	AT3G20440	AT4G11550	AT2G32440	AT4G18640	AT2G47180
AT2G07721	AT3G20760	AT4G12330	AT2G32770	AT4G18650	AT2G47190
AT2G09990	AT3G20850	AT4G12420	AT2G32870	AT4G18692	AT2G47350
AT2G11035	AT3G21351	AT4G12440	AT2G32900	AT4G18970	AT2G47410
AT2G11890	AT3G22110	AT4G13690	AT2G32970	AT4G19190	AT2G47730
AT2G13540	AT3G22120	AT4G14120	AT2G32980	AT4G19485	AT2G47820
AT2G14460	AT3G22142	AT4G14180	AT2G33310	AT4G19640	AT2G48010
AT2G14860	AT3G22190	AT4G14240	AT2G33570	AT4G19830	AT3G01210
AT2G15010	AT3G22690	AT4G14245	AT2G33630	AT4G19850	AT3G01430
AT2G15430	AT3G22780	AT4G14310	AT2G33740	AT4G20450	AT3G01500
AT2G15620	AT3G23390	AT4G14330	AT2G33810	AT4G20700	AT3G01640
AT2G15630	AT3G23780	AT4G14700	AT2G33990	AT4G21020	AT3G01700
AT2G15690	AT3G23830	AT4G14713	AT2G34010	AT4G21350	AT3G01830
AT2G15820	AT3G24120	AT4G14740	AT2G34060	AT4G21510	AT3G02140
AT2G15980	AT3G24360	AT4G14770	AT2G34585	AT4G21534	AT3G02160
AT2G16230	AT3G24510	AT4G14960	AT2G34690	AT4G21540	AT3G02480
AT2G16380	AT3G24515	AT4G15830	AT2G34710	AT4G21650	AT3G02840
AT2G16500	AT3G24830	AT4G15930	AT2G35680	AT4G21750	AT3G02875
AT2G16570	AT3G25040	AT4G16120	AT2G35820	AT4G22260	AT3G02880
AT2G16770	AT3G25220	AT4G16340	AT2G35830	AT4G22490	AT3G03020
AT2G16860	AT3G25470	AT4G16450	AT2G35860	AT4G22600	AT3G03140
AT2G16920	AT3G25920	AT4G16610	AT2G35990	AT4G22680	AT3G03200
AT2G17130	AT3G25970	AT4G16650	AT2G36050	AT4G22880	AT3G03280
AT2G17190	AT3G26270	AT4G17040	AT2G36130	AT4G22940	AT3G03440
AT2G17250	AT3G26539	AT4G17050	AT2G36360	AT4G23140	AT3G03740
AT2G17410	AT3G26540	AT4G17150	AT2G36410	AT4G23200	AT3G03750
AT2G17525	AT3G26770	AT4G17380	AT2G36420	AT4G23590	AT3G04090
AT2G17580	AT3G26790	AT4G17560	AT2G36430	AT4G23670	AT3G04240
AT2G17670	AT3G27180	AT4G17670	AT2G36490	AT4G23900	AT3G04440
AT2G17720	AT3G27230	AT4G17760	AT2G36695	AT4G24030	AT3G04640
AT2G17790	AT3G27380	AT4G17770	AT2G36810	AT4G24070	AT3G05035
AT2G17820	AT3G27430	AT4G18060	AT2G36815	AT4G24230	AT3G05200
AT2G18000	AT3G27820	AT4G18220	AT2G36900	AT4G24250	AT3G05500
AT2G18020	AT3G27890	AT4G18370	AT2G37170	AT4G24275	AT3G05545
AT2G18040	AT3G28460	AT4G18501	AT2G37200	AT4G24480	AT3G05580
AT2G18110	AT3G28635	AT4G18570	AT2G37260	AT4G24990	AT3G05620
AT2G18220	AT3G29375	AT4G18630	AT2G37290	AT4G25830	AT3G06020
AT2G18245	AT3G29690	AT4G18670	AT2G37330	AT4G26080	AT3G06070
AT2G18330	AT3G30300	AT4G18760	AT2G37460	AT4G26220	AT3G06490
AT2G18410	AT3G32040	AT4G18930	AT2G37630	AT4G26540	AT3G06760
AT2G18520	AT3G42670	AT4G19590	AT2G37840	AT4G26560	AT3G07090
AT2G18760	AT3G43520	AT4G19865	AT2G38195	AT4G26880	AT3G07273
AT2G18900	AT3G43600	AT4G19890	AT2G38220	AT4G27260	AT3G07370
AT2G19080	AT3G43800	AT4G20140	AT2G38400	AT4G27450	AT3G07565
AT2G19120	AT3G43810	AT4G20150	AT2G38800	AT4G27570	AT3G08505
AT2G19130	AT3G44010	AT4G20270	AT2G38820	AT4G27670	AT3G08710
AT2G19190	AT3G44330	AT4G20940	AT2G39000	AT4G27845	AT3G08720
AT2G19380	AT3G44600	AT4G21280	AT2G39010	AT4G27890	AT3G08760
AT2G19385	AT3G44713	AT4G21340	AT2G39570	AT4G27990	AT3G08910
AT2G19470	AT3G45030	AT4G21550	AT2G40100	AT4G28500	AT3G08990
AT2G19490	AT3G45230	AT4G21820	AT2G40110	AT4G28556	AT3G09032
AT2G19540	AT3G46100	AT4G22130	AT2G40130	AT4G28640	AT3G09350
AT2G19670	AT3G46430	AT4G22460	AT2G40420	AT4G29030	AT3G09440
AT2G19730	AT3G46680	AT4G22756	AT2G40610	AT4G30280	AT3G09560
AT2G19740	AT3G46990	AT4G23160	AT2G40900	AT4G30380	AT3G09830
AT2G19750	AT3G47200	AT4G23710	AT2G41060	AT4G30450	AT3G09910
AT2G19850	AT3G47840	AT4G23720	AT2G41170	AT4G30630	AT3G09920
AT2G19870	AT3G47930	AT4G23800	AT2G41190	AT4G31140	AT3G09940
AT2G20020	AT3G48100	AT4G23860	AT2G41250	AT4G31510	AT3G09950
AT2G20140	AT3G48170	AT4G24550	AT2G41330	AT4G31805	AT3G09960
AT2G20280	AT3G48430	AT4G24610	AT2G41370	AT4G31830	AT3G09970
AT2G20450	AT3G49120	AT4G24710	AT2G41530	AT4G31875	AT3G10300
AT2G20490	AT3G49142	AT4G24780	AT2G41710	AT4G32080	AT3G10390
AT2G20585	AT3G49250	AT4G25240	AT2G41740	AT4G32160	AT3G10470
AT2G20610	AT3G49725	AT4G26510	AT2G41905	AT4G32280	AT3G10540
AT2G20690	AT3G50300	AT4G26620	AT2G42040	AT4G32320	AT3G10570
AT2G20710	AT3G50670	AT4G26660	AT2G42380	AT4G32440	AT3G10640
AT2G20825	AT3G51010	AT4G26760	AT2G42465	AT4G32460	AT3G10750
AT2G20850	AT3G51140	AT4G26960	AT2G42590	AT4G33240	AT3G10800
AT2G20970	AT3G51260	AT4G27060	AT2G42600	AT4G33460	AT3G10815
AT2G21090	AT3G51270	AT4G27180	AT2G42690	AT4G33467	AT3G10915
AT2G21160	AT3G51960	AT4G27230	AT2G42730	AT4G33490	AT3G10930
AT2G21270	AT3G52090	AT4G27240	AT2G42750	AT4G34610	AT3G10986
AT2G21280	AT3G52160	AT4G27510	AT2G42850	AT4G34690	AT3G11020
AT2G21350	AT3G52170	AT4G28005	AT2G42890	AT4G35010	AT3G11170
AT2G21385	AT3G52490	AT4G28220	AT2G42920	AT4G35655	AT3G11260
AT2G21440	AT3G52590	AT4G28230	AT2G43010	AT4G35860	AT3G11340
AT2G21580	AT3G52730	AT4G28310	AT2G43050	AT4G35940	AT3G11820
AT2G22100	AT3G52930	AT4G28560	AT2G43080	AT4G35970	AT3G11840
AT2G22121	AT3G52960	AT4G29100	AT2G43160	AT4G36060	AT3G11860
AT2G22250	AT3G52990	AT4G30000	AT2G43290	AT4G36210	AT3G11900
AT2G22410	AT3G53320	AT4G30640	AT2G43400	AT4G36350	AT3G12145
AT2G22420	AT3G53350	AT4G30860	AT2G43430	AT4G36540	AT3G12400
AT2G22650	AT3G53460	AT4G30950	AT2G43680	AT4G36790	AT3G12460
AT2G23000	AT3G53500	AT4G31040	AT2G43930	AT4G36800	AT3G12510
AT2G23093	AT3G53580	AT4G31050	AT2G44140	AT4G37010	AT3G12580
AT2G23470	AT3G53630	AT4G31060	AT2G44730	AT4G37220	AT3G12740
AT2G23890	AT3G53740	AT4G31460	AT2G44735	AT4G37480	AT3G12840
AT2G24050	AT3G54010	AT4G31730	AT2G44740	AT4G37610	AT3G13020
AT2G24120	AT3G54470	AT4G32210	AT2G44850	AT4G37720	AT3G13050
AT2G24570	AT3G54670	AT4G32330	AT2G44900	AT4G37760	AT3G13100
AT2G24590	AT3G54910	AT4G32570	AT2G45380	AT4G38030	AT3G13110
AT2G24690	AT3G55440	AT4G32580	AT2G45510	AT4G38140	AT3G13275
AT2G24990	AT3G55780	AT4G32710	AT2G45620	AT4G38230	AT3G13430
AT2G25100	AT3G56010	AT4G32840	AT2G45630	AT4G38360	AT3G13600
AT2G25110	AT3G56020	AT4G32910	AT2G45650	AT4G38775	AT3G13620
AT2G25180	AT3G56300	AT4G33200	AT2G45660	AT4G38860	AT3G13870
AT2G25355	AT3G56320	AT4G33380	AT2G45670	AT4G39330	AT3G13910
AT2G25580	AT3G56430	AT4G33410	AT2G45980	AT4G39480	AT3G14070
AT2G25640	AT3G56490	AT4G33470	AT2G46030	AT4G39910	AT3G14075
AT2G25670	AT3G56550	AT4G34110	AT2G46220	AT5G01075	AT3G14090
AT2G25720	AT3G56720	AT4G34160	AT2G46480	AT5G01280	AT3G14260
AT2G25770	AT3G56870	AT4G34215	AT2G46570	AT5G01320	AT3G14620
AT2G25830	AT3G56900	AT4G34220	AT2G46640	AT5G01480	AT3G15040
AT2G25870	AT3G57130	AT4G34450	AT2G46900	AT5G01580	AT3G15115
AT2G26140	AT3G57350	AT4G34490	AT2G47400	AT5G01670	AT3G15210
AT2G26290	AT3G57890	AT4G34750	AT2G47420	AT5G01690	AT3G15240
AT2G26440	AT3G58140	AT4G34980	AT2G47700	AT5G01895	AT3G15356
AT2G26460	AT3G58200	AT4G35335	AT3G01260	AT5G02020	AT3G15518
AT2G26740	AT3G58210	AT4G35620	AT3G01520	AT5G02390	AT3G15670
AT2G26790	AT3G58470	AT4G35800	AT3G01590	AT5G02910	AT3G15760
AT2G26990	AT3G58610	AT4G36080	AT3G01690	AT5G03120	AT3G15770
AT2G27100	AT3G58820	AT4G36105	AT3G01770	AT5G03350	AT3G15800
AT2G27450	AT3G58940	AT4G36180	AT3G01880	AT5G03510	AT3G16150
AT2G27510	AT3G59340	AT4G36195	AT3G02110	AT5G03545	AT3G16510
AT2G27530	AT3G59400	AT4G36270	AT3G02250	AT5G03560	AT3G16720
AT2G27590	AT3G59540	AT4G36860	AT3G02300	AT5G03620	AT3G16800
AT2G27710	AT3G59650	AT4G37080	AT3G02340	AT5G03640	AT3G16860
AT2G27775	AT3G60210	AT4G37100	AT3G02370	AT5G03795	AT3G17250
AT2G27820	AT3G60245	AT4G37490	AT3G02390	AT5G04010	AT3G17690
AT2G27840	AT3G60380	AT4G37550	AT3G02493	AT5G04040	AT3G17710
AT2G28000	AT3G60660	AT4G37650	AT3G02690	AT5G04120	AT3G17717
AT2G28230	AT3G60820	AT4G37750	AT3G03330	AT5G04140	AT3G17770
AT2G28320	AT3G61113	AT4G37830	AT3G03380	AT5G04267	AT3G17800
AT2G28520	AT3G61170	AT4G38330	AT3G03700	AT5G04500	AT3G18180
AT2G28600	AT3G61780	AT4G38430	AT3G03820	AT5G04680	AT3G18282
AT2G28690	AT3G61990	AT4G38490	AT3G03840	AT5G04690	AT3G18670
AT2G28710	AT3G62120	AT4G38510	AT3G04290	AT5G04730	AT3G18690
AT2G28960	AT3G62270	AT4G38600	AT3G04350	AT5G05100	AT3G18915
AT2G29080	AT3G62360	AT4G38680	AT3G04360	AT5G05220	AT3G18950
AT2G29200	AT3G62400	AT4G38760	AT3G04730	AT5G05290	AT3G19010
AT2G29350	AT3G62810	AT4G39770	AT3G04810	AT5G05530	AT3G19150
AT2G29540	AT3G62830	AT5G01020	AT3G04860	AT5G05735	AT3G19240
AT2G29580	AT3G62840	AT5G01170	AT3G04880	AT5G06520	AT3G19470
AT2G29690	AT3G62890	AT5G01620	AT3G04890	AT5G06905	AT3G19580
AT2G29760	AT3G62910	AT5G01660	AT3G04900	AT5G07165	AT3G19830
AT2G30150	AT3G66658	AT5G02010	AT3G04910	AT5G07230	AT3G19970
AT2G30260	AT4G00100	AT5G02350	AT3G04930	AT5G07520	AT3G20040
AT2G30930	AT4G00210	AT5G02770	AT3G04940	AT5G07890	AT3G20170
AT2G31060	AT4G00340	AT5G03060	AT3G05150	AT5G08410	AT3G20600
AT2G31083	AT4G00490	AT5G03140	AT3G05160	AT5G09440	AT3G20890
AT2G31140	AT4G00810	AT5G03660	AT3G05165	AT5G09930	AT3G21070
AT2G31240	AT4G01023	AT5G04060	AT3G05640	AT5G09976	AT3G21220
AT2G31340	AT4G01040	AT5G04290	AT3G05760	AT5G10100	AT3G21230
AT2G31360	AT4G01080	AT5G05010	AT3G05800	AT5G10180	AT3G21520
AT2G31380	AT4G01180	AT5G05060	AT3G05900	AT5G10740	AT3G21700
AT2G31390	AT4G01310	AT5G05890	AT3G05920	AT5G11700	AT3G21800
AT2G31400	AT4G02180	AT5G06150	AT3G06150	AT5G11840	AT3G21810
AT2G31410	AT4G02230	AT5G06940	AT3G06170	AT5G11960	AT3G22260
AT2G31530	AT4G02450	AT5G07120	AT3G06290	AT5G11990	AT3G22275
AT2G31570	AT4G02620	AT5G07571	AT3G06380	AT5G12310	AT3G22840
AT2G31610	AT4G02670	AT5G07572	AT3G06550	AT5G12390	AT3G22890
AT2G31740	AT4G02840	AT5G07590	AT3G06620	AT5G13240	AT3G22910
AT2G31830	AT4G03292	AT5G07630	AT3G06840	AT5G13295	AT3G23170
AT2G31840	AT4G03610	AT5G07810	AT3G06850	AT5G13410	AT3G23230
AT2G32060	AT4G03620	AT5G08020	AT3G06868	AT5G13670	AT3G23240
AT2G32220	AT4G04500	AT5G08480	AT3G07010	AT5G13990	AT3G23250
AT2G32380	AT4G04745	AT5G08530	AT3G07020	AT5G14510	AT3G23400
AT2G32415	AT4G04950	AT5G08540	AT3G07310	AT5G14602	AT3G23550
AT2G32430	AT4G05040	AT5G08670	AT3G07425	AT5G14720	AT3G24180
AT2G32600	AT4G05210	AT5G08690	AT3G07870	AT5G14940	AT3G24210
AT2G32720	AT4G05530	AT5G09460	AT3G08510	AT5G15150	AT3G24350
AT2G32890	AT4G08310	AT5G10020	AT3G08890	AT5G15580	AT3G24500
AT2G32910	AT4G08520	AT5G10080	AT3G09320	AT5G15660	AT3G24890
AT2G33020	AT4G08570	AT5G10390	AT3G09470	AT5G16410	AT3G25230
AT2G33360	AT4G09010	AT5G10480	AT3G09710	AT5G17430	AT3G25570
AT2G33370	AT4G09120	AT5G10530	AT3G10030	AT5G17600	AT3G25573
AT2G33600	AT4G09320	AT5G10560	AT3G10200	AT5G18970	AT3G25600
AT2G33730	AT4G09550	AT5G10570	AT3G10550	AT5G19430	AT3G25620
AT2G33840	AT4G09800	AT5G10870	AT3G10572	AT5G20165	AT3G25740
AT2G33845	AT4G09900	AT5G11040	AT3G10740	AT5G20580	AT3G25760
AT2G33847	AT4G10280	AT5G11550	AT3G10760	AT5G20790	AT3G25770
AT2G34040	AT4G10890	AT5G11690	AT3G10770	AT5G22310	AT3G25780
AT2G34050	AT4G11010	AT5G11890	AT3G11080	AT5G22545	AT3G25855
AT2G34100	AT4G11720	AT5G11980	AT3G11100	AT5G22608	AT3G25882
AT2G34160	AT4G12470	AT5G12150	AT3G11240	AT5G22870	AT3G26680
AT2G34260	AT4G12490	AT5G12370	AT3G11370	AT5G23350	AT3G26840
AT2G34357	AT4G12530	AT5G12440	AT3G11410	AT5G23360	AT3G26980
AT2G34430	AT4G12620	AT5G12470	AT3G11730	AT5G23590	AT3G27540
AT2G34460	AT4G12700	AT5G12920	AT3G11750	AT5G23750	AT3G28180
AT2G34520	AT4G12870	AT5G12970	AT3G11770	AT5G24318	AT3G28340
AT2G34570	AT4G13170	AT5G13060	AT3G11810	AT5G24352	AT3G28540
AT2G34650	AT4G13540	AT5G13290	AT3G12110	AT5G24470	AT3G28570
AT2G34780	AT4G13615	AT5G13300	AT3G12150	AT5G24530	AT3G28600
AT2G34830	AT4G14103	AT5G13690	AT3G12160	AT5G24580	AT3G28740
AT2G34900	AT4G14210	AT5G13770	AT3G12345	AT5G24910	AT3G29000
AT2G34970	AT4G14320	AT5G13980	AT3G12610	AT5G27200	AT3G29170
AT2G35030	AT4G14400	AT5G14060	AT3G12630	AT5G27840	AT3G43240
AT2G35040	AT4G14510	AT5G14160	AT3G12640	AT5G27890	AT3G43250
AT2G35240	AT4G14550	AT5G14170	AT3G12760	AT5G28050	AT3G43270
AT2G35520	AT4G15720	AT5G14430	AT3G12830	AT5G28910	AT3G43430
AT2G35605	AT4G15900	AT5G15470	AT3G13062	AT5G29560	AT3G44190
AT2G35720	AT4G16050	AT5G15620	AT3G13450	AT5G32470	AT3G44260
AT2G35770	AT4G16090	AT5G15800	AT3G13720	AT5G33406	AT3G44320
AT2G35790	AT4G16155	AT5G16030	AT3G13750	AT5G35460	AT3G44326
AT2G35910	AT4G16265	AT5G16280	AT3G14000	AT5G35525	AT3G44400
AT2G35935	AT4G16370	AT5G16390	AT3G14010	AT5G35670	AT3G44435
AT2G35950	AT4G16447	AT5G16710	AT3G14150	AT5G36100	AT3G44630
AT2G35970	AT4G16555	AT5G16720	AT3G14270	AT5G37055	AT3G44760
AT2G36070	AT4G16620	AT5G17160	AT3G14350	AT5G37180	AT3G44860
AT2G36080	AT4G16835	AT5G17165	AT3G14370	AT5G37300	AT3G44870
AT2G36160	AT4G17180	AT5G17340	AT3G14640	AT5G37478	AT3G45040
AT2G36170	AT4G17480	AT5G17670	AT3G15070	AT5G37550	AT3G46090
AT2G36180	AT4G17510	AT5G18230	AT3G15160	AT5G37930	AT3G46160
AT2G36210	AT4G17520	AT5G18660	AT3G15250	AT5G37970	AT3G46620
AT2G36250	AT4G18100	AT5G18680	AT3G15290	AT5G38070	AT3G46660
AT2G36290	AT4G18215	AT5G18700	AT3G15470	AT5G38770	AT3G46930
AT2G36295	AT4G18270	AT5G19060	AT3G15510	AT5G38850	AT3G47180
AT2G36540	AT4G18480	AT5G19090	AT3G15630	AT5G38895	AT3G47540
AT2G36620	AT4G18730	AT5G19190	AT3G15900	AT5G39000	AT3G47550
AT2G36880	AT4G18750	AT5G19350	AT3G16250	AT5G40420	AT3G47700
AT2G36930	AT4G19925	AT5G19390	AT3G16370	AT5G40680	AT3G47820
AT2G36950	AT4G19970	AT5G19770	AT3G16600	AT5G40890	AT3G47960
AT2G36970	AT4G20130	AT5G19780	AT3G16640	AT5G41070	AT3G48070
AT2G37190	AT4G20160	AT5G20570	AT3G16770	AT5G41290	AT3G48450
AT2G37195	AT4G20340	AT5G20640	AT3G16850	AT5G41440	AT3G48520
AT2G37230	AT4G20360	AT5G20660	AT3G17020	AT5G41470	AT3G49160
AT2G37250	AT4G20770	AT5G22070	AT3G17100	AT5G41540	AT3G49380
AT2G37270	AT4G20900	AT5G22090	AT3G17340	AT5G41830	AT3G49690
AT2G37310	AT4G21105	AT5G22340	AT3G17440	AT5G41900	AT3G49810
AT2G37400	AT4G21150	AT5G22740	AT3G17470	AT5G42223	AT3G50060
AT2G37600	AT4G21585	AT5G22880	AT3G17510	AT5G42250	AT3G50260
AT2G37680	AT4G21670	AT5G23400	AT3G17650	AT5G43030	AT3G50310
AT2G37690	AT4G21770	AT5G23420	AT3G18080	AT5G43150	AT3G50760
AT2G37760	AT4G22000	AT5G23780	AT3G18200	AT5G43240	AT3G50800
AT2G37890	AT4G22105	AT5G23920	AT3G18330	AT5G43390	AT3G50890
AT2G37975	AT4G22110	AT5G24330	AT3G18370	AT5G43480	AT3G50910
AT2G37990	AT4G22300	AT5G25100	AT3G18710	AT5G44270	AT3G50930
AT2G38060	AT4G22310	AT5G25150	AT3G18780	AT5G44578	AT3G50950
AT2G38270	AT4G22770	AT5G25380	AT3G19340	AT5G44580	AT3G50970
AT2G38280	AT4G22930	AT5G25580	AT3G19350	AT5G44610	AT3G51450
AT2G38370	AT4G23110	AT5G26310	AT3G19860	AT5G44690	AT3G51660
AT2G38450	AT4G23760	AT5G26570	AT3G19960	AT5G45130	AT3G51810
AT2G38580	AT4G23770	AT5G26790	AT3G20250	AT5G45540	AT3G51895
AT2G38660	AT4G23940	AT5G26850	AT3G20460	AT5G45840	AT3G51940
AT2G38700	AT4G23990	AT5G26910	AT3G20470	AT5G45920	AT3G52220
AT2G38730	AT4G24320	AT5G27550	AT3G20770	AT5G46410	AT3G52400
AT2G38770	AT4G24620	AT5G27560	AT3G20820	AT5G46530	AT3G52430
AT2G38860	AT4G24750	AT5G27580	AT3G20830	AT5G46690	AT3G52450
AT2G38905	AT4G24770	AT5G27980	AT3G21250	AT5G46871	AT3G52520
AT2G38950	AT4G24890	AT5G28900	AT3G21260	AT5G46950	AT3G52870
AT2G39040	AT4G25010	AT5G35630	AT3G21710	AT5G47240	AT3G53232
AT2G39120	AT4G25600	AT5G35926	AT3G21870	AT5G47450	AT3G53830
AT2G39230	AT4G25710	AT5G36180	AT3G21950	AT5G48050	AT3G53960
AT2G39290	AT4G25740	AT5G36230	AT3G22380	AT5G48060	AT3G54020
AT2G39380	AT4G25890	AT5G37010	AT3G22460	AT5G48190	AT3G54030
AT2G39390	AT4G26300	AT5G37020	AT3G22540	AT5G48690	AT3G54040
AT2G39500	AT4G26670	AT5G37630	AT3G22550	AT5G48790	AT3G54120
AT2G39518	AT4G26840	AT5G38110	AT3G23000	AT5G49450	AT3G54130
AT2G39530	AT4G26900	AT5G38360	AT3G23050	AT5G50915	AT3G54620
AT2G39700	AT4G27090	AT5G38386	AT3G23090	AT5G51170	AT3G55050
AT2G39710	AT4G27640	AT5G39330	AT3G23255	AT5G51470	AT3G55270
AT2G39795	AT4G27900	AT5G39830	AT3G23340	AT5G51950	AT3G55390
AT2G39960	AT4G28070	AT5G40030	AT3G23430	AT5G52000	AT3G55430
AT2G39970	AT4G28080	AT5G40150	AT3G23450	AT5G52300	AT3G55470
AT2G39990	AT4G28360	AT5G40820	AT3G23610	AT5G52310	AT3G55600
AT2G40190	AT4G28440	AT5G40830	AT3G23630	AT5G53360	AT3G55640
AT2G40200	AT4G28470	AT5G40950	AT3G23635	AT5G53950	AT3G55720
AT2G40240	AT4G28510	AT5G41140	AT3G23640	AT5G54370	AT3G55840
AT2G40290	AT4G28580	AT5G41210	AT3G23840	AT5G54730	AT3G55910
AT2G40360	AT4G29060	AT5G41620	AT3G24070	AT5G55000	AT3G55940
AT2G40390	AT4G29480	AT5G41820	AT3G24315	AT5G55700	AT3G55950
AT2G40430	AT4G29680	AT5G42040	AT3G24450	AT5G55950	AT3G55980
AT2G40520	AT4G29730	AT5G42100	AT3G24520	AT5G56100	AT3G56400
AT2G40540	AT4G29735	AT5G42190	AT3G24715	AT5G56180	AT3G56740
AT2G40570	AT4G29870	AT5G42660	AT3G24740	AT5G56210	AT3G57120
AT2G40590	AT4G30220	AT5G42920	AT3G25240	AT5G56520	AT3G57450
AT2G40650	AT4G30480	AT5G43080	AT3G25670	AT5G56540	AT3G57460
AT2G40660	AT4G30620	AT5G43155	AT3G25690	AT5G56840	AT3G57640
AT2G40670	AT4G30700	AT5G43160	AT3G25717	AT5G57040	AT3G57730
AT2G40690	AT4G31070	AT5G43500	AT3G25910	AT5G57050	AT3G57740
AT2G40700	AT4G31120	AT5G43710	AT3G25930	AT5G57550	AT3G57750
AT2G40720	AT4G31180	AT5G43750	AT3G26100	AT5G57565	AT3G57760
AT2G40950	AT4G31300	AT5G43990	AT3G26110	AT5G57660	AT3G57810
AT2G41650	AT4G31350	AT5G45115	AT3G26300	AT5G57760	AT3G57880
AT2G41670	AT4G31360	AT5G45170	AT3G26310	AT5G57900	AT3G58270
AT2G41750	AT4G31580	AT5G45850	AT3G26380	AT5G58080	AT3G58600
AT2G41780	AT4G31810	AT5G46140	AT3G26395	AT5G58180	AT3G58790
AT2G41950	AT4G31890	AT5G46270	AT3G26490	AT5G59030	AT3G59080
AT2G42060	AT4G31920	AT5G46570	AT3G26510	AT5G59120	AT3G59210
AT2G42065	AT4G31990	AT5G47030	AT3G26720	AT5G59130	AT3G59350
AT2G42130	AT4G32250	AT5G47160	AT3G26890	AT5G59290	AT3G59520
AT2G42140	AT4G32360	AT5G47490	AT3G26900	AT5G59310	AT3G59530
AT2G42280	AT4G33170	AT5G47750	AT3G26932	AT5G60010	AT3G59710
AT2G42395	AT4G33250	AT5G47780	AT3G26950	AT5G60110	AT3G59740
AT2G42520	AT4G33480	AT5G47810	AT3G27025	AT5G60265	AT3G60110
AT2G42640	AT4G33700	AT5G47820	AT3G27415	AT5G60350	AT3G60450
AT2G42680	AT4G33720	AT5G47890	AT3G27420	AT5G60490	AT3G60810
AT2G42710	AT4G33865	AT5G48360	AT3G27440	AT5G60660	AT3G61190
AT2G42740	AT4G34265	AT5G48520	AT3G27960	AT5G60810	AT3G61800
AT2G42865	AT4G34270	AT5G48600	AT3G28050	AT5G60830	AT3G61980
AT2G43090	AT4G34300	AT5G48810	AT3G28320	AT5G60910	AT3G62260
AT2G43110	AT4G34419	AT5G49010	AT3G28420	AT5G61050	AT3G62720
AT2G43130	AT4G34670	AT5G49215	AT3G28455	AT5G61290	AT3G62770
AT2G43190	AT4G34870	AT5G49945	AT3G28710	AT5G61380	AT3G63050
AT2G43235	AT4G34960	AT5G50060	AT3G28715	AT5G61530	AT3G63060
AT2G43270	AT4G35660	AT5G50180	AT3G28840	AT5G62470	AT3G63070
AT2G43280	AT4G35850	AT5G50420	AT3G28857	AT5G62960	AT3G63310
AT2G43360	AT4G35905	AT5G51310	AT3G28910	AT5G63020	AT3G63440
AT2G43420	AT4G36290	AT5G51350	AT3G29180	AT5G63070	AT4G00300
AT2G43510	AT4G37320	AT5G51545	AT3G29370	AT5G63240	AT4G00970
AT2G43650	AT4G37520	AT5G51560	AT3G29390	AT5G63350	AT4G01010
AT2G43660	AT4G37560	AT5G51820	AT3G29410	AT5G63905	AT4G01250
AT2G43710	AT4G37660	AT5G51930	AT3G29631	AT5G64190	AT4G01360
AT2G43760	AT4G38120	AT5G52220	AT3G29780	AT5G64260	AT4G01410
AT2G43770	AT4G38270	AT5G52290	AT3G30305	AT5G64330	AT4G01540
AT2G43780	AT4G38660	AT5G52800	AT3G30530	AT5G64667	AT4G01550
AT2G43810	AT4G38870	AT5G52920	AT3G30720	AT5G64770	AT4G01850
AT2G43840	AT4G39040	AT5G53140	AT3G33520	AT5G64880	AT4G01870
AT2G43865	AT4G39150	AT5G53170	AT3G42630	AT5G64930	AT4G02195
AT2G44010	AT4G39200	AT5G53740	AT3G42800	AT5G65207	AT4G02200
AT2G44020	AT4G39260	AT5G53860	AT3G43790	AT5G66020	AT4G02350
AT2G44120	AT4G39280	AT5G54440	AT3G43850	AT5G66300	AT4G02550
AT2G44160	AT4G39320	AT5G54600	AT3G44610	AT5G67030	AT4G03410
AT2G44270	AT4G39510	AT5G55160	AT3G45160	AT5G67140	AT4G03430
AT2G44350	AT4G39590	AT5G55230	AT3G45300	AT5G67230	AT4G03510
AT2G44370	AT4G39680	AT5G55380	AT3G45443	AT5G67550	AT4G04020
AT2G44440	AT4G39790	AT5G55480	AT3G45540	ATCG00440	AT4G04710
AT2G44470	AT4G40030	AT5G55520	AT3G45770	ATCG00510	AT4G04840
AT2G44510	AT5G01230	AT5G55590	AT3G45780	ATCG00530	AT4G05010
AT2G44520	AT5G01650	AT5G55940	AT3G46060	ATCG00700	AT4G05100
AT2G44860	AT5G01770	AT5G57370	AT3G46170	ATCG00760	AT4G05110
AT2G44980	AT5G02080	AT5G57620	AT3G46200	ATCG01100	AT4G05120
AT2G45000	AT5G02240	AT5G57700	AT3G47000	ATMG00050	AT4G05460
AT2G45030	AT5G02380	AT5G57850	AT3G47250	ATMG00300	AT4G08170
AT2G45070	AT5G02400	AT5G58030	AT3G47470	ATMG00320	AT4G08180
AT2G45150	AT5G02520	AT5G58090	AT3G47500	ATMG00470	AT4G08500
